optimizer,query_name,query_type,workload_order,mean,std,min,max,range
NEO,7c,leave_one_out,ascending_latency,39.12001033333333,60.22104877265143,4.278624,108.657237,104.378613
NEO,20c,leave_one_out,ascending_latency,19.187927333333334,25.59940789579668,4.320502,48.747404,44.426902000000005
NEO,14a,leave_one_out,random,15.229170000000002,20.243994767241546,3.536496,38.604921000000004,35.068425000000005
NEO,8c,random_split,random,217.32612866666668,5.590885261628026,213.918636,223.778532,9.85989600000002
NEO,8c,random_split,ascending_complexity,213.41300866666666,4.966063204470142,208.900657,218.733625,9.832967999999994
NEO,8c,random_split,ascending_latency,208.33088233333334,4.790931369031951,203.64364,213.219173,9.575533000000007
NEO,16c,leave_one_out,ascending_latency,30.029928,4.602335120708945,26.773042,35.295129,8.522087000000003
NEO,26c,leave_one_out,ascending_latency,228.0541333333333,4.5269433902771805,224.802099,233.22436,8.422260999999992
NEO,6e,random_split,random,20.800960333333332,4.1048925926336155,17.474552,25.388441999999998,7.9138899999999985
NEO,17b,random_split,ascending_latency,34.72924233333333,4.0468885746032495,31.77852,39.342634,7.5641139999999965
NEO,10b,leave_one_out,random,8.635106,3.9359544775318485,6.128933,13.171645,7.042712
NEO,17b,random_split,ascending_complexity,35.43401866666667,3.444915929599202,33.296281,39.408055999999995,6.111774999999994
NEO,17c,leave_one_out,random,256.87640700000003,3.377958902290565,254.90094699999997,260.776829,5.875882000000047
NEO,8c,leave_one_out,ascending_complexity,70.43433933333334,2.9268057357426973,67.195167,72.888799,5.693632000000008
NEO,25a,leave_one_out,random,48.46937433333333,2.8372059374887346,45.401457,50.998647,5.597189999999998
BAO,30a,leave_one_out,random,5.227239333333333,3.037113973617937,3.3933519999999997,8.732948,5.339596
NEO,17b,random_split,random,34.756826999999994,2.8354503212512867,32.733188999999996,37.997647,5.264458000000005
NEO,27c,leave_one_out,ascending_complexity,47.31346933333333,2.840508709049546,45.516897,50.588252,5.071354999999997
NEO,8c,leave_one_out,ascending_latency,165.44494233333333,2.5070045548403628,163.011842,168.019833,5.007991000000004
NEO,13b,leave_one_out,ascending_latency,7.850135999999999,2.7469427199364755,6.033837999999999,11.010282,4.976444000000001
